Service name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Low Places,Home Care High Places,Transition Care Places,Provider Name,Organisation Type,ABS Remoteness,2014-15 Australian Government Funding
Manangatang MPS,37-39 Pioneer Street,,MANANGATANG,VIC,3546,Loddon-Mallee,Multi-Purpose Service,10,,,,Robinvale District Health Services,State Government,Outer Regional Australia,"$582,103"
Mandalay Retreat,149 Wellington Street,,CLEVELAND,QLD,4163,Brisbane South,Residential,109,,,,Senjah Pty. Ltd.,Private Incorporated Body,Major Cities of Australia,"$4,930,778"
Manilla Multi-Purpose Service,5 COURT Street,,MANILLA,NSW,2346,New England,Multi-Purpose Service,40,,,,Hunter New England Local Health District,State Government,Outer Regional Australia,"$1,486,540"
Manly Vale Nursing Home,61 Gordon Street,,MANLY VALE,NSW,2093,Northern Sydney,Residential,92,,,,Manly Vale Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,277,256"
Manningham Centre Aged Care at Home,371 Manningham Road,,DONCASTER,VIC,3108,Eastern Metro,Home Care Places,,40,20,,Manningham Centre Association Inc,Community Based,Major Cities of Australia,"$570,517"
Manningham Centre Aged Care At Home,371 Manningham Road,,DONCASTER,VIC,3108,Eastern Metro,Home Care Places,,5,,,Manningham Centre Association Inc,Community Based,Major Cities of Australia,"$56,682"
Manningham Centre Extended Aged Care at Home (EACH),371 Manningham Road,,DONCASTER,VIC,3108,Eastern Metro,Home Care Places,,,5,,Manningham Centre Association Inc,Community Based,Major Cities of Australia,"$221,544"
Manoah House,3/86 Mills Road West,,MARTIN,WA,6110,Metropolitan South East,Residential,19,,,,Association for Christian Senior Citizens Homes WA Inc,Religious,Major Cities of Australia,"$917,050"
Manor Court Werribee Aged Care Ltd,5 Hogan Grove,,WERRIBEE,VIC,3030,Western Metro,Residential,100,,,,Manor Court Werribee Aged Care Ltd,Community Based,Major Cities of Australia,"$5,117,854"
Mapoon Home and Community Care Program,Red Beach Road,,MAPOON,QLD,4874,Far North,Home Care Places,,7,,,Mapoon Aboriginal Council,Local Government,Very Remote Australia,n.a.
Maranatha Aged Care,1582 Anzac Avenue,,KALLANGUR,QLD,4503,Cabool,Residential,97,,,,Christadelphian Homes Limited,Religious,Major Cities of Australia,"$4,327,305"
Maranatha House,127 - 137 Whiteley Street,,WELLINGTON,NSW,2820,Orana Far West,Residential,60,,,,Maranatha House,Community Based,Outer Regional Australia,"$2,163,655"
Maranatha Lodge,56 Calton Road,,BATEHAVEN,NSW,2536,Southern Highlands,Residential,95,,,,Catholic Healthcare Limited,Charitable,Inner Regional Australia,"$4,561,399"
Marco Polo Aged Care Facility,70 Waples Road,,UNANDERRA,NSW,2526,Illawarra,Residential,166,,,,Marco Polo Aged Care Services Limited,Charitable,Major Cities of Australia,"$10,282,075"
Marco Polo Aged Care Services Limited CACPs,70 Waples Road,,UNANDERRA,NSW,2526,Illawarra,Home Care Places,,20,,,Marco Polo Aged Care Services Limited,Charitable,Major Cities of Australia,"$272,829"
Marcus Loane House,6-14 Macpherson Street,,WARRIEWOOD,NSW,2102,Northern Sydney,Residential,119,,,,Anglican Retirement Villages,Religious,Major Cities of Australia,"$5,727,552"
Marebello,537 Cleveland-Redland Bay Road,,VICTORIA POINT,QLD,4165,Brisbane South,Residential,138,,,,Queensland Rehabilitation Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$8,561,757"
Mareeba Aged Care,6 Rannoch Avenue,,MACLEAN,NSW,2463,Far North Coast,Residential,119,,,,MacLean Valley Nursing Home Pty Limited,Private Incorporated Body,Inner Regional Australia,"$7,005,910"
Margaret Hubery House,36 Fifth Avenue,,ROSSMOYNE,WA,6148,Metropolitan South East,Residential,65,,,,Southern Cross Care (WA) Inc,Religious,Major Cities of Australia,"$4,671,715"
Margery Cole Residential Care Service,1 MATTHEWS Crescent,,TRARALGON,VIC,3844,Gippsland,Residential,96,,,,"""Yallambee"" Traralgon Village for the Aged Inc",Community Based,Inner Regional Australia,"$5,213,536"
Margriet Manor,722 Mt Dandenong Road,,KILSYTH,VIC,3137,Eastern Metro,Residential,45,,,,DutchCare Ltd,Community Based,Major Cities of Australia,"$2,514,632"
Marian Hostel,678 Victoria Road,,RYDE,NSW,2112,Northern Sydney,Residential,52,,,,Calvary Retirement Community Ryde Limited,Religious,Major Cities of Australia,"$2,042,298"
Marian Nursing Home,2a Fleet Street,,NORTH PARRAMATTA,NSW,2151,Western Sydney,Residential,80,,,,The Trustees of the Roman Catholic Church for the Diocese of Parramatta,Religious,Major Cities of Australia,"$4,802,692"
Marina Residential Aged Care Service,385 Blackshaws Road,,ALTONA NORTH,VIC,3025,Western Metro,Residential,190,,,,Jimroy Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$11,311,212"
Marist Lodge,12 Lapage Street,,BELMONT,WA,6104,Metropolitan South East,Residential,40,,,,Catholic Homes Incorporated,Religious,Major Cities of Australia,"$1,954,480"
Mark and Dina Munzer Community Residence,52 Northcote Avenue,,CAULFIELD NORTH,VIC,3161,Southern Metro,Residential,45,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,"$1,968,314"
Mark Donaldson VC House,301 Galston Road,,GALSTON,NSW,2159,Northern Sydney,Residential,74,,,,RSL LifeCare Limited,Community Based,Major Cities of Australia,"$4,305,520"
Markmoran at Little Bay,7-11 Brodie Avenue,,LITTLE BAY,NSW,2036,South East Sydney,Residential,155,,,,Norwent 2 Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$6,332,794"
Marlborough Gardens Hostel,8-12 Marlborough Road,,HEATHMONT,VIC,3135,Eastern Metro,Residential,35,,,,Noble Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$1,449,997"
Maroba Nursing Home,58 Edith Street,,WARATAH,NSW,2298,Hunter,Residential,155,,,,Maroba,Charitable,Major Cities of Australia,"$8,267,341"
Marten Residential Care Centre,110 Strathfield Terrace,,LARGS NORTH,SA,5016,Metropolitan West,Residential,123,,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$7,101,659"
Marthakal Health Service,Galiwinku Community,,ELCHO ISLAND,NT,822,East Arnhem,Home Care Places,,7,,,Marthakal Homeland & Resource Centre Incorporated,Community Based,Very Remote Australia,n.a.
Martin Luther Homes,67 Mount View Road,,THE BASIN,VIC,3154,Eastern Metro,Residential,88,,,,Martin Luther Homes Boronia Inc,Religious,Major Cities of Australia,"$4,586,667"
Martin Luther Hostel,3 Martin Luther Place,,ALLAMBIE HEIGHTS,NSW,2100,Northern Sydney,Residential,42,,,,Allambie Heights Village Ltd,Religious,Major Cities of Australia,"$1,294,306"
Martindale Nursing Home,1 Duffield Street,,GAWLER EAST,SA,5118,"Yorke, Lower North & Barossa",Residential,44,,,,Martindale ACF Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$1,906,720"
Martyn Claver Aged Care,200 Megalong Street,,LEURA,NSW,2780,Nepean,Residential,46,,,,Siena Management Services Pty. Limited,Private Incorporated Body,Major Cities of Australia,"$2,684,963"
Mary Andrews Retirement Village Hostel,857-861 King Georges Road,,SOUTH HURSTVILLE,NSW,2221,South East Sydney,Residential,42,,,,Anglican Retirement Villages,Religious,Major Cities of Australia,"$1,777,509"
Mary Cecelia Hart Court Hostel,82 Williams Road,,MILLICENT,SA,5280,South East,Residential,90,,,,The Boneham Cottage Homes Inc,Community Based,Outer Regional Australia,"$2,650,750"
Mary Guthrie House Nursing Home,1 Yarra Boulevard,,KEW,VIC,3101,Eastern Metro,Residential,20,,,,Austin Health,State Government,Major Cities of Australia,"$715,910"
Mary MacKillop Aged Care,4 King Street,,HAWTHORN EAST,VIC,3123,Eastern Metro,Residential,91,,,,Sisters of St Joseph Health Care Services (Vic),Religious,Major Cities of Australia,"$5,012,855"
Mary MacKillop Care Flora McDonald,206 Sir Donald Bradman Drive,,COWANDILLA,SA,5033,Metropolitan West,Residential,87,,,,Mary MacKillop Care SA Ltd,Religious,Major Cities of Australia,"$5,766,722"
Mary MacKillop Care St Catherine's,12 Coneybeer Street,,BERRI,SA,5343,Riverland,Residential,26,,,,Mary MacKillop Care SA Ltd,Religious,Outer Regional Australia,"$1,529,203"
Mary MacKillop Care St Catherine's,12 Coneybeer Street,,BERRI,SA,5343,Riverland,Residential,24,,,,Mary MacKillop Care SA Ltd,Religious,Outer Regional Australia,"$1,825,435"
Mary MacKillop Care Tappeiner Court,286 Portrush Road,,KENSINGTON,SA,5068,Metropolitan East,Residential,37,,,,Mary MacKillop Care SA Ltd,Religious,Major Cities of Australia,"$2,487,284"
Mary MacKillop Care Tenison Woods Community Care,286 Portrush Road,,KENSINGTON,SA,5068,Metropolitan East,Home Care Places,,15,,,Mary MacKillop Care SA Ltd,Religious,Major Cities of Australia,"$193,381"
Mary Mackillop Hostel Carrington Retirement Village,90 Werombi Road,,GRASMERE,NSW,2570,South West Sydney,Residential,94,,,,Carrington Centennial Care Limited,Private Incorporated Body,Major Cities of Australia,"$3,479,937"
Mary Ogilvy Home,51 Pirie Street,,NEW TOWN,TAS,7008,Southern,Residential,45,,,,The Mary Ogilvy Homes Society,Community Based,Inner Regional Australia,"$2,449,650"
Mary Ogilvy Home,51 Pirie Street,,NEW TOWN,TAS,7008,Southern,Residential,35,,,,The Mary Ogilvy Homes Society,Community Based,Inner Regional Australia,"$1,834,530"
Mary Potter Nursing Home,6 Lewisham Avenue,,WAGGA WAGGA,NSW,2650,Riverina/Murray,Residential,52,,,,The Mary Potter Nursing Home and The Ethel Forrest Day Care Centre Pty Ltd,Religious,Inner Regional Australia,"$3,564,148"
Mary Potter Nursing Home,678 Victoria Road,,RYDE,NSW,2112,Northern Sydney,Residential,63,,,,Calvary Retirement Community Ryde Limited,Religious,Major Cities of Australia,"$3,703,789"
Maryborough Nursing Home,75-85 Clarendon Street,,MARYBOROUGH,VIC,3465,Loddon-Mallee,Residential,45,,,,Maryborough District Health Service,State Government,Inner Regional Australia,"$1,937,506"
Marycrest Hostel,411 Main Street,,KANGAROO POINT,QLD,4169,Brisbane South,Residential,157,,,,St Vincent's Health & Aged Care Limited,Religious,Major Cities of Australia,"$8,987,181"
Mary's Grange,5 Grange Avenue,,TAROONA,TAS,7053,Southern,Residential,113,,,,Marys Grange Incorporated,Religious,Inner Regional Australia,"$4,804,618"
Mary's Grange CACP Service,5 Grange Avenue,,TAROONA,TAS,7053,Southern,Home Care Places,,28,,,Marys Grange Incorporated,Religious,Inner Regional Australia,"$377,239"
Maryville Aged Care Facility,56  WESTERN BEACH ROAD,,GEELONG,VIC,3220,Barwon-South Western,Residential,33,,,,Catholic Homes for the Elderly Inc,Religious,Major Cities of Australia,"$1,892,110"
Masonic Care Queensland Aged Care Facility,1 Emerald Street,,KIRWAN,QLD,4817,Northern,Residential,127,,,,The Board of Benevolence and of Aged Masons Widows and Orphans' Fund,Charitable,Outer Regional Australia,"$9,001,254"
Masonic Care Queensland Arundel Aged Care Facility,101 Allied Drive,,ARUNDEL,QLD,4214,South Coast,Residential,50,,,,The Board of Benevolence and of Aged Masons Widows and Orphans' Fund,Charitable,Major Cities of Australia,"$2,448,022"
Masonic Care Queensland Cairns Aged Care Facility,82-120 McManus Street,,WHITFIELD,QLD,4870,Far North,Residential,108,,,,The Board of Benevolence and of Aged Masons Widows and Orphans' Fund,Charitable,Outer Regional Australia,"$7,354,128"
Masonic Care Queensland Cooloola Aged Care Facility,26 Coral Trout Drive,,TIN CAN BAY,QLD,4580,Sunshine Coast,Residential,20,,,,The Board of Benevolence and of Aged Masons Widows and Orphans' Fund,Charitable,Inner Regional Australia,"$1,091,911"
Masonic Care Queensland Sandgate Hostel,60 Wakefield Street,,SANDGATE,QLD,4017,Brisbane North,Residential,238,,,,The Board of Benevolence and of Aged Masons Widows and Orphans' Fund,Charitable,Major Cities of Australia,"$9,929,721"
Masonic Care Queensland Sandgate Nursing Home,60 Wakefield Street,,SANDGATE,QLD,4017,Brisbane North,Residential,203,,,,The Board of Benevolence and of Aged Masons Widows and Orphans' Fund,Charitable,Major Cities of Australia,"$13,123,636"
Masonic Peace Memorial Haven,185 Penquite Road,,NORWOOD,TAS,7250,Northern,Residential,48,,,,Masonic Peace Memorial Haven of Northern Tasmania Inc,Community Based,Inner Regional Australia,"$1,846,641"
Masonic Peace Memorial Haven Of Northern Tasmania,185 Penquite Road,,NORWOOD,TAS,7250,Northern,Home Care Places,,38,2,,Masonic Peace Memorial Haven of Northern Tasmania Inc,Community Based,Inner Regional Australia,"$272,973"
Masonic Peacehaven Hostel,185 Penquite Road,,NORWOOD,TAS,7250,Northern,Residential,50,,,,Masonic Peace Memorial Haven of Northern Tasmania Inc,Community Based,Inner Regional Australia,"$1,938,226"
Mater Aged Care,1 Prince Street,,FORBES,NSW,2871,Central West,Residential,36,,,,Catholic Healthcare Limited,Charitable,Outer Regional Australia,"$2,011,163"
Mater Christi Aged Care Facility,1 MARIAN Place,,TOORMINA,NSW,2452,Mid North Coast,Residential,101,,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore Sawtell Catholic Care of the Aged Committee,Religious,Inner Regional Australia,"$5,273,328"
Matthew Flinders Home Inc,61-63 Oxford Terrace,,PORT LINCOLN,SA,5606,Eyre Peninsula,Residential,68,,,,Matthew Flinders Home Inc,Community Based,Remote Australia,"$3,581,304"
Matthew Flinders Home Inc. Home Care Packages Program,61 Oxford Terrace,,PORT LINCOLN,SA,5606,Eyre Peninsula,Home Care Places,,,10,,Matthew Flinders Home Inc,Community Based,Remote Australia,"$507,976"
Matthew Flinders Home Inc. Home Care Packages Program,61 Oxford Terrace,,PORT LINCOLN,SA,5606,Eyre Peninsula,Home Care Places,,,5,,Matthew Flinders Home Inc,Community Based,Remote Australia,"$270,427"
Matthew Flinders Home Inc. Home Care Packages Program,8 Hallett Place,,PORT LINCOLN,SA,5606,Eyre Peninsula,Home Care Places,,15,5,,Matthew Flinders Home Inc,Community Based,Remote Australia,"$215,300"
May Noonan Memorial Hostel for the Aged,1 Foley Street,,TERANG,VIC,3264,Barwon-South Western,Residential,40,,,,VincentCare Victoria,Religious,Inner Regional Australia,"$1,216,132"
May Shaw Health Centre,39 Wellington Street,,SWANSEA,TAS,7190,Southern,Home Care Places,,,2,,May Shaw Health Centre Inc,Community Based,Remote Australia,"$95,134"
May Shaw Health Centre Community Aged Care Packages,22 Victoria Street,,SWANSEA,TAS,7190,Southern,Home Care Places,,24,,,May Shaw Health Centre Inc,Community Based,Remote Australia,"$343,173"
May Shaw Hostel,22 Victoria Street,,SWANSEA,TAS,7190,Southern,Residential,28,,,,May Shaw Health Centre Inc,Community Based,Remote Australia,"$1,087,991"
May Shaw Nursing Home,22 Victoria Street,,SWANSEA,TAS,7190,Southern,Residential,22,,,,May Shaw Health Centre Inc,Community Based,Remote Australia,"$1,296,843"
Maybanke Aged Care Plus Centre,80 Wardell Road,,DULWICH HILL,NSW,2203,Inner West,Residential,38,,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,"$1,930,080"
Mayfield Aged Care,115 Crebert Street,,MAYFIELD,NSW,2304,Hunter,Residential,67,,,,M.N.H. Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,859,509"
Mayflower Brighton,7 Centre Road,,BRIGHTON EAST,VIC,3187,Southern Metro,Residential,150,,,,Mayflower Brighton,Private Incorporated Body,Major Cities of Australia,"$6,748,181"
Mayflower CACP Program,7 Centre Road,,BRIGHTON EAST,VIC,3187,Southern Metro,Home Care Places,,30,,,Mayflower Brighton,Private Incorporated Body,Major Cities of Australia,"$402,191"
Mayflower Nursing Home,2 Helen Street,,WESTMEAD,NSW,2145,Western Sydney,Residential,96,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,"$7,038,322"
Mayflower Reservoir,56 Elliot Street,,RESERVOIR,VIC,3073,Northern Metro,Residential,38,,,,Mayflower Reservoir,Private Incorporated Body,Major Cities of Australia,"$1,737,293"
Mayflower Village Hostel,2 Helen Street,,WESTMEAD,NSW,2145,Western Sydney,Residential,48,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,"$2,388,913"
Mayo Healthcare Group - CACP,Suite 3,72-75 Elbow Street,WEST KEMPSEY,NSW,2440,Mid North Coast,Home Care Places,,15,,,Mayo Healthcare Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$177,843"
Mayo Healthcare Group - EACH,Suite 3,72-74 Elbow Street,WEST KEMPSEY,NSW,2440,Mid North Coast,Home Care Places,,,20,,Mayo Healthcare Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$924,626"
Mayo Healthcare Group - EACHD,3 POTOROO Drive,,TAREE,NSW,2430,Mid North Coast,Home Care Places,,,4,,Mayo Healthcare Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,"$149,049"
McAuley Place Hostel,263 AGNES Street,,THE RANGE,QLD,4700,Fitzroy,Residential,30,,,,Mercy Health and Aged Care Central Queensland Limited,Religious,Inner Regional Australia,"$1,600,084"
MCC - Young Community Care Program,58 Campbell Street,,YOUNG,NSW,2594,Riverina/Murray,Home Care Places,,,9,,Mercy Health & Aged Care Inc,Charitable,Inner Regional Australia,"$417,770"
MCC Community Aged Care Packages EACH Dementia,61 Campbell Street,,YOUNG,NSW,2594,Southern Highlands,Home Care Places,,,6,,Mercy Health & Aged Care Inc,Charitable,Inner Regional Australia,"$314,238"
McCauley Lodge,12  TASMAN PARADE,,THIRROUL,NSW,2515,Illawarra,Residential,34,,,,The Churches of Christ Property Trust,Religious,Major Cities of Australia,"$1,042,767"
MCCGC - Cabool HCP Program,9 George Street,,CABOOLTURE,QLD,4510,Cabool,Home Care Places,,15,15,,Multicultural Communities Council - Gold Coast Limited,Community Based,Major Cities of Australia,"$66,764"
McCracken Views,31 ADELAIDE Road,,MCCRACKEN,SA,5211,"Hills, Mallee & Southern",Residential,60,,,,Southern Cross Care (SA & NT) Incorporated,Religious,Inner Regional Australia,"$3,184,481"
McDougall Park Nursing Home,18 Ley Street,,COMO,WA,6152,Metropolitan South East,Residential,52,,,,Fresh Fields Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,959,788"
McGowan Lodge,35 Doolan Street,,NAMBOUR,QLD,4560,Sunshine Coast,Residential,53,,,,Sundale Ltd,Community Based,Major Cities of Australia,"$1,876,183"
McGregor Gardens Aged Care,11 MCGREGOR Road,,PAKENHAM,VIC,3810,Southern Metro,Residential,90,,,,Gold Age Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$5,255,810"
McKay House,1  TRIBE STREET,,NORTH TAMWORTH,NSW,2340,New England,Residential,61,,,,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,"$3,950,168"
McKellar Centre,45-95 Ballarat Road,,NORTH GEELONG,VIC,3215,Barwon-South Western,Residential,198,,,,Barwon Health,State Government,Major Cities of Australia,"$9,541,568"
McKinlay Shire Multi-purpose Health Service,1 Burke Street,,JULIA CREEK,QLD,4823,North West,Multi-Purpose Service,4,5,,,Queensland Health,State Government,Very Remote Australia,"$384,710"
McLean Care Ltd,127 Bridge Street,,TAMWORTH,NSW,2340,New England,Home Care Places,,,6,,McLean Care Ltd,Charitable,Inner Regional Australia,"$281,080"
McLean Care Ltd,67 Killean Street,,INVERELL,NSW,2360,New England,Residential,160,,,,McLean Care Ltd,Charitable,Outer Regional Australia,"$7,232,241"
McLean Lodge Hostel,2 LITTLE PRINCES Street,,TRAVANCORE,VIC,3032,Western Metro,Residential,21,,,,Wintringham,Charitable,Major Cities of Australia,"$1,476,290"
McLellan House Hostel,2 Robinson Street,,JACANA,VIC,3047,Northern Metro,Residential,32,,,,Melbourne Health,State Government,Major Cities of Australia,"$1,228,761"
McMaugh Gardens Hostel,39 King Street,,URALLA,NSW,2358,New England,Residential,36,,,,Council of the Shire of Uralla,Local Government,Outer Regional Australia,"$1,528,928"
McNamara Lodge,41 Portrush Parade,,MEADOW SPRINGS,WA,6210,Metropolitan South West,Residential,96,,,,Australian Flying Corps & Royal Australian Air Force Association (WA Div) Inc,Charitable,Major Cities of Australia,"$5,197,985"
McQuoin Park,28 McAuley Place,,WAITARA,NSW,2077,Northern Sydney,Residential,73,,,,Catholic Healthcare Limited,Charitable,Major Cities of Australia,"$3,870,026"
Meath Care Como,80-82 Henley Street,,COMO,WA,6152,Metropolitan South East,Residential,65,,,,Meath Care (Inc),Community Based,Major Cities of Australia,"$3,433,356"
Mecrs1,34-54 Poplar Road,,PARKVILLE,VIC,3052,Northern Metro,Home Care Places,,80,,,Melbourne Health,State Government,Major Cities of Australia,"$989,140"
Mecrs2,34-54 Poplar Road,,PARKVILLE,VIC,3052,Northern Metro,Home Care Places,,40,,,Melbourne Health,State Government,Major Cities of Australia,"$482,124"
mecwacare Home Care Packages (Eastern Metro Region),450 Waverley Road,,MALVERN EAST,VIC,3145,Eastern Metro,Home Care Places,,50,30,,MECWA,Community Based,Major Cities of Australia,"$445,211"
mecwacare Home Care Packages (Northern Metro Region),"Level 1, 34 Amis Crescent",,KEILOR EAST,VIC,3033,Northern Metro,Home Care Places,,20,21,,MECWA,Community Based,Major Cities of Australia,"$533,766"
mecwacare Home Care Packages (Southern Metro Region),4/66-68 Main Street,,PAKENHAM,VIC,3810,Southern Metro,Home Care Places,,50,30,,MECWA,Community Based,Major Cities of Australia,"$727,177"
mecwacare Home Care Packages (Western Metro Region),"Level 1, 34 Amis Crescent",,KEILOR EAST,VIC,3033,Western Metro,Home Care Places,,15,8,,MECWA,Community Based,Major Cities of Australia,"$463,896"
mecwacare Malvern Centre,1245-1247 Malvern Road,,MALVERN,VIC,3144,Southern Metro,Residential,109,,,,MECWA,Community Based,Major Cities of Australia,"$4,522,757"
mecwacare Noel Miller Centre,9-15 Kent Street,,GLEN IRIS,VIC,3146,Southern Metro,Residential,138,,,,MECWA,Community Based,Major Cities of Australia,"$7,099,615"
mecwacare Park Hill,160 Mornington-Tyabb Road,,MORNINGTON,VIC,3931,Southern Metro,Residential,69,,,,MECWA,Community Based,Major Cities of Australia,"$3,395,890"
mecwacare Richmond Hill,273 Church Street,,RICHMOND,VIC,3121,Northern Metro,Residential,30,,,,MECWA,Community Based,Major Cities of Australia,"$1,523,950"
mecwacare Sir Donald & Lady Trescowthick Centre,70 Charles Street,,PRAHRAN,VIC,3181,Southern Metro,Residential,60,,,,MECWA,Community Based,Major Cities of Australia,"$3,094,804"
Medea Park Community Aged Care Package Service,17 Circassian Street,,ST HELENS,TAS,7216,Northern,Home Care Places,,6,,,Medea Park Association Incorporated,Community Based,Outer Regional Australia,"$80,350"
Medea Park Hostel,17 Circassian Street,,ST HELENS,TAS,7216,Northern,Residential,20,,,,Medea Park Association Incorporated,Community Based,Outer Regional Australia,"$889,627"
Medea Park Nursing Home,17 Circassian Street,,ST HELENS,TAS,7216,Northern,Residential,35,,,,Medea Park Association Incorporated,Community Based,Outer Regional Australia,"$2,274,140"
Medina Manor,200a Smith Street,,THORNBURY,VIC,3071,Northern Metro,Residential,45,,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,818,094"
Meercroft Care,2 NORTH Street,,DEVONPORT,TAS,7310,North Western,Residential,127,,,,Meercroft Care Inc,Community Based,Inner Regional Australia,"$7,356,168"
Mehi Cluster Transitional Aged Care Service,65 Gibbons Street,,NARRABRI,NSW,2390,New England,Transition Care,,,,10,NSW State Government (NSW Ministry of Health),State Government,Outer Regional Australia,"$527,351"
Mekong Vietnamese Aged Care,8 Trott Place,,KEILOR EAST,VIC,3033,Western Metro,Residential,65,,,,Indochinese Elderly Refugees Association Victoria Inc,Community Based,Major Cities of Australia,"$4,446,815"
Melaleuca Court Nursing Home,69 Main Street,,MINLATON,SA,5575,"Yorke, Lower North & Barossa",Residential,35,,,,Country Health SA Local Health Network Incorporated,State Government,Outer Regional Australia,"$2,133,332"
Melaleuca Home For The Aged,73 Mary Street,,EAST DEVONPORT,TAS,7310,North Western,Residential,42,,,,Melaleuca Home for the Aged Inc,Community Based,Inner Regional Australia,"$2,419,460"
Melaleuca Lodge,1 Watchorn Road,,COWES,VIC,3922,Gippsland,Residential,37,,,,Phillip Island Homes for the Aged Association Inc,Community Based,Inner Regional Australia,"$745,746"
Melbourne Health Transition Care Program,856 Park Street,,PARKVILLE,VIC,3052,Western Metro,Transition Care,,,,63,Department of Health,State Government,Major Cities of Australia,"$4,245,446"
Melbourne Hebrew Memorial Nursing Home,4-8 Freeman Street,,CAULFIELD,VIC,3162,Southern Metro,Residential,120,,,,Jewish Care (Victoria) Inc,Religious,Major Cities of Australia,"$6,938,137"
Melrose Cottage Settlement,157 Bungaree Road,,PENDLE HILL,NSW,2145,Western Sydney,Residential,80,,,,United Protestant Association of NSW Limited,Charitable,Major Cities of Australia,"$4,840,982"
Melville Grange Hostel,80 Melville Park Drive,,BERWICK,VIC,3806,Southern Metro,Residential,60,,,,Wickro Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$2,690,967"
Menaville Nursing Home,121 Frederick Street,,ROCKDALE,NSW,2216,South East Sydney,Residential,48,,,,Fresh Fields Aged Care (NSW) - No 1 Pty Ltd,Private Incorporated Body,Major Cities of Australia,"$3,640,049"
Mercy Aged Care Services (Singleton),8 Combo Lane,,SINGLETON,NSW,2330,Hunter,Residential,44,,,,Mercy Services,Charitable,Inner Regional Australia,"$1,885,474"
Mercy Care Centre (MCC) Young CCP,61 Campbell Street,,YOUNG,NSW,2594,Southern Highlands,Home Care Places,,62,,,Mercy Health & Aged Care Inc,Charitable,Inner Regional Australia,"$766,980"
Mercy Care on Call - CACP,47  HIBBERSON STREET,,GUNGAHLIN,ACT,2912,ACT,Home Care Places,,9,5,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$140,930"
Mercy Care on Call - EACH,47  HIBBERSON STREET,,GUNGAHLIN,ACT,2912,ACT,Home Care Places,,,17,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$676,109"
Mercy Care on Call - EACHD,47  HIBBERSON STREET,,GUNGAHLIN,ACT,2912,ACT,Home Care Places,,,10,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$428,712"
Mercy Community Aged Care Packages,131 Queens Road,,NUDGEE,QLD,4014,Brisbane North,Home Care Places,,25,,,The Corporation of the Trustees of the Order of the Sisters of Mercy in Queensland,Religious,Major Cities of Australia,"$302,460"
Mercy Community Care Housing Linked Service,32 Union Street,,TIGHES HILL,NSW,2297,Hunter,Home Care Places,,30,,,Mercy Services,Charitable,Major Cities of Australia,"$363,968"
Mercy Community Care Packages,34 Union Street,,TIGHES HILL,NSW,2297,Hunter,Home Care Places,,54,25,,Mercy Services,Charitable,Major Cities of Australia,"$883,970"
Mercy Health and Aged Care Inc,735 KIEWA Street,,ALBURY,NSW,2640,Riverina/Murray,Home Care Places,,15,,,Mercy Health & Aged Care Inc,Charitable,Inner Regional Australia,"$207,087"
Mercy Health Bethlehem Home For The Aged,36-42 Specimen Hill Road,,GOLDEN SQUARE,VIC,3555,Loddon-Mallee,Residential,110,,,,Bethlehem Home for the Aged Inc,Charitable,Inner Regional Australia,"$7,702,071"
Mercy Health Home and Community Care - Cairns Home Care Packages,258-282 Lyons Street,,WESTCOURT,QLD,4870,Far North,Home Care Places,,5,10,,Mercy Health & Aged Care Inc,Charitable,Outer Regional Australia,"$13,222"
Mercy Home & Community Care - CACP Southern,259 Jasper Road,,MCKINNON,VIC,3204,Southern Metro,Home Care Places,,20,,,Mercy Health & Aged Care Inc,Charitable,Major Cities of Australia,"$260,767"
